,doc_id,doc_text
292,296,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?
293,297,How much would it cost to hire Jerry Seinfeld for 1-2 hours?
294,298,How much on average would it cost to video tape a 2 hour presentation?
295,299,Is 7 days too late for rabies vaccine after a possible non-bite exposure?
296,300,Can I take rabies injection after 1 day of dog bite?
297,301,How many years Britain ruled India?
298,302,What is the standard amount of time off given for an international relocation?
299,303,How can I stop being afraid of working?
300,304,How do you stop being afraid of everything?
301,305,Why does Red keep the keys in OITNB?
302,306,Why does Red keep the keys in season 4 of Orange is the New Black?
303,307,At what age should someone lose their virginity?
304,308,"At what age, how, and where did you lose your virginity?"
305,309,How forgetful are you?
306,310,How can I forget my wife?
307,311,Could Snoke secretly be Darth Maul?
308,312,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?
309,314,How do you upload movies on YouTube and monetize them? Is there any issue of copyright
310,315,Would you switch from Canon 6D to Leica D-LUX 109?
311,316,What tripod should I get for my Canon 6D?
312,317,What does the Quora website look like to members of Quora moderation?
313,319,Why nobody answer my questions in Quora?
314,320,Why is no one answering my questions in Quora?
315,321,What is the funniest joke you know?
316,322,What is the funniest joke of all time?
317,323,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?"
318,324,"If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?"
319,325,What are stereotypes about the United Kingdom?
320,326,What do Americans think about the United Kingdom?
321,327,How do I use Twitter as a business source?
322,328,How can I use Twitter for business?
323,329,How can I transfer money from Skrill to a PayPal account?
324,330,How can I send money from my PayPal account to my Skrill account to withdraw?
325,331,Which is the best earphone with deep bass under 1000?
326,332,Which is the Best earphones under Rs 1000?
327,333,Are government employees eligible to Sukanya Samrudi Yojana?
328,334,Can a Government employee apply IEC?
329,335,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?
330,336,"Which is correct: ""speak with"" or ""speak to""?"
331,337,Which are the best engineering fields?
332,338,What is the best field of engineering?
333,339,How do you make life suit you and stop life from abusing you mentally and emotionally?
334,340,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?"
335,341,What is the difference between gross salary and CTC?
336,342,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?"
337,343,Which are the prospering towns in Kerala?
338,344,Why are there so many Christians in Kerala?
339,345,What is the best way to gain confidence?
340,346,How can I speak with more clarity and confidence?
341,347,Does anyone see the relation between Greek gods and Hindu gods?
342,348,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?"
343,349,How do I switch from Apple Music to Spotify?
344,350,Should I switch from Spotify to Apple Music?
345,351,Which is the best fixed income fund?
346,352,What is the best fixed income fund?
347,353,What is it like to live in Cologne?
348,354,"What is it like to live in Köln, Germany?"
349,355,"Between Robert De Niro and Al Pacino, who is more successful?"
350,356,"Who do you regard as the best actor, Robert De Niro or Al Pacino?"
351,357,Why does some people prefer small families.?
352,358,Why do some people prefer to live with small family?
353,360,Do animals (besides humans) kiss?
354,361,How do you get deleted Instagram chats?
355,362,How can I view deleted Instagram dms?
356,363,How can I stop being addicted to love?
357,364,How do I stop being addicted to someone?
358,365,What if I hired two private eyes and ordered them to follow each other?
359,366,Would I be able to hire two private investigators and then get them to follow each other?
360,367,How do I find a startup accelerator?
361,368,How do startup accelerators give you the funding?
362,369,How can I check wifi history and access it through android phones?
363,370,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?
364,371,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?"
365,372,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?"
366,373,What is the most creative college admissions essay you've read?
367,374,Has any college admission officer cried in public while reading an applicant's essay?
368,375,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?"
369,376,What happens if eye medicine enters the eye?
370,377,Is it possible to pursue many different things in life?
371,380,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?"
372,381,Which business is good start up in Hyderabad?
373,382,Which business is better to start in Hyderabad?
374,383,How can I stop being so possessive?
375,384,How do I stop being over possessive for a person whom I love?
376,385,Who was the wife of Lord Krishna?
377,386,Who is the father of lord Krishna?
378,387,What is the best combination of courses I can take up along with CA to enhance my career?
379,388,What courses must be taken along with CA course?
380,389,How do you take a screenshot on a Mac laptop?
381,390,How do I take a screenshot on my MacBook Pro? What are some instructions?
382,391,What is the work of an executive recruiter like?
383,392,What is it like to work with an executive recruiter?
384,393,Which psychological need does 'collecting' fulfill?
385,394,Why do people collect things?
386,395,What are some must watch TV shows before you die?
387,396,Are there any must watch TV shows?
388,397,How can I become more fluent in Chinese?
389,398,How can I become fluent in chinese?
390,400,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?
391,401,What is the easiest way to become a billionaire($)?
392,402,What is the best way to become a billionaire?
393,403,Are there People who are willing to give free lectures or conduct free workshop in India colleges?
394,404,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?"
395,405,What's the best way to start learning robotics?
396,406,What is the best way to start robotics? Which is the best development board that I can start working on it?
397,407,Why do people hate Hillary Clinton?
398,408,What are the reasons that people dislike Hillary Clinton?
399,409,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?
400,410,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?"
401,411,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?"
402,412,"Is atheism the lack of belief in gods, or a claim that god does not exist?"
403,413,What is it like to be Jack Dorsey?
404,414,What is Jack Dorsey like?
405,415,What are the best quotes/lessons of the Assassin's Creed series?
406,416,Which assassin has the best robes in Assassin's Creed?
407,417,"Do inkjet printers use color ink when printing black and white documents? If so, why?"
408,418,"If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?"
409,419,Why is creativity important?
410,421,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?
411,422,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?
412,423,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?
413,424,Why don't phones have a built-in FM antenna?
414,425,What are the best career growth technologies for automation engineers apart from automation tools?
415,426,Himalayan or Duke KTM 200 for touring?
416,427,What are the disadvantages of listing a company in NSE?
417,428,What are the benefits of listing a company in NSE?
418,429,How many derivatives of an object's position with respect to time have to be continuous?
419,430,When does drawing become fun?
420,431,Is the neutron star made up of?
421,432,Is the neutron star made up of only neutrons?
422,433,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?
423,434,Is a 3.8 GPA sufficient to get into a top school?
424,435,What is a profitable way to trade binary options?
425,436,What is binary options trading?
426,437,How do I utilize free time to avoid depression?
427,438,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?
428,439,How can I learn computer security?
429,440,How can I get started to learn information security?
430,441,How do I earn from Quora?
431,442,Can I earn money on Quora?
432,443,What is my puk code?
433,444,What's the PUK for TF64SIMC4?
434,445,How can I find job in Japan?
435,446,How can I find an IT job in Japan?
436,447,"What are some examples of sentences using the word ""hysteria""?"
437,448,What is the best home wireless network setup and expected speeds?
438,449,Will there be another billion dollar lottery Jackpot?
439,450,When will the lottery reach the next billion dollar jackpot?
440,451,How scary is it to drive on the road to Hana given all of the turns?
441,452,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?
442,453,How do I create a new shell in a new terminal using C programming (Linux terminal)?
443,454,How do I create a new Terminal and new shell in Linux using C programming?
444,455,Does cognition affect perception?
445,456,Does cognitive strain affect digestion?
446,457,How TQWL is different from CKWL (Tatkal waiting list)?
447,458,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?
448,459,How can we make the world a better place to live in for the future generations?
449,460,What can I do to make the world a better place?
450,461,How many Champions are there in League of Legends?
451,462,Who is the best LoL (League of Legends) champion?
452,463,Is drinking 4 liters of water each day unhealthy?
453,464,How many liters of water should I drink if I run 5kms daily?
454,465,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?"
455,466,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?"
456,467,Do porn stars watch porn?
457,468,How can I book Ronda Rousey to star in an adult movie?
458,469,"Trump supporters, how do you feel about the way he's walking back his promises?"
459,470,Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?
460,471,Why are we worried about others' opinions?
461,472,Why do we care for others' opinion and about what others think about us?
462,473,How do you potty train a 4 months Pitbull?
463,474,How do I potty train my two-month-old Labrador pup?
464,475,"If I jump rope for five minutes, how many calories will I use?"
465,476,What's the best way to jump rope?
466,477,Which online test series is best for GATE 2017 in CS stream?
467,478,Which test series is the best for GATE computer science stream?
468,479,What is the best material for understanding algorithmic analysis by a newbie?
469,480,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?
470,481,What is the temperament of a Bullmastiff/Husky mix?
471,482,What is the temperament of a Corgi-Husky mix?
472,483,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?"
473,484,"How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?"
474,485,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?"
475,486,"In ""A Raisin in the Sun"", why do Walter and Beneatha argue?"
476,487,What are the signs of an ultra smart person playing dumb?
477,488,What are signs of ultra smart people hiding their intelligence?
478,489,If dark energy is created with expansion can infinite of it be created?
479,490,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?"
480,491,How do you get a book published?
481,492,What are the good ways to write and publish a book?
482,494,Who will disrupt Bloomberg?
483,495,Why can flash run so fast?
484,496,The Flash (DC character): How fast can the Flash run a mile?
485,497,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?"
486,498,How can I best invest ₹5000 over the next 6 months?
487,499,How will the implementation of GST bill impact the lives of common people?
488,500,What exactly is GST bill and how exactly will it affect the common people?
489,501,How can you recover your Gmail password?
490,502,"I do not remember my password to my Gmail account, how can I recover my account?"
491,503,How accurately can a mental illness can be diagnosed?
492,504,How can I accurately diagnose and medicate my mental illness?
493,505,Is knee pain in a 20 year old girl normal?
494,506,Is it normal for a 14 year old girl to be spitting up blood?
495,507,What are the qualities of a good leader?
496,508,What are some good qualities of a leader?
497,509,"What is the difference between bay, gulf and straits?"
498,510,What exactly is the difference between a sea and a bay?
499,511,Will Modi win in 2019?
500,512,Can Narendra Modi become Prime Minister of India in 2019?
501,513,How can I open DMart store in India? Is there any franchise for that?
502,514,How do I get reliance digital store franchise?
503,515,What are the best YouTube channels to learn medicine?
504,516,What are some of the best YouTube channels for learning Git?
505,517,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?
506,518,Why don't most of the Hindus eat non-veg?
507,519,What will happen if I cancel TQWL tickets before the charting is done?
508,520,Can we cancel a 'Tatkal waiting list' ticket?
509,521,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?"
510,522,What are the pros and cons of the Common Core Standards Initiative?
511,523,How do I choose a journal to publish my paper?
512,524,Where do I publish my paper?
513,525,What are your New Year's resolutions for 2017?
514,526,What is your creative New Year's resolution for 2017?
515,527,What do you do if you had a bad dream?
516,528,How do you not get bad dreams?
517,529,Do squats work for men?
518,530,How many marks should I score for AIIMS rank 151?
519,531,What minimum marks should I score to get among top 50 in AIIMS?
520,532,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?"
521,533,Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?
522,534,How many months does it take to gain knowledge in developing Android apps from scratch?
523,535,How much time does it take to learn Android app development from scratch?
524,536,How do I love my body as a guy?
525,537,"How can I make my whole body more fair, if I am a wheatish Indian guy?"
526,538,What are the rights of a prisoner?
527,539,"If I am in prison, what rights would I have?"
528,541,How can I get free gems Clash of Clans?
529,542,Why aren't there more apps like Word Lens?
530,543,What does Word Lens use for OCR?
531,544,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?
532,545,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?"
533,546,What is the best way to get traffic on your website?
534,547,How do i get traffic for website?
535,549,How does it feel to see upvotes to your answer on Quora?
536,550,What are some of the best films and TV shows that feature strong female protagonists?
537,551,What are the best female strong characters in films?
538,552,How far would you go for love? Should I wait for the one I love ir move on?
539,553,"As a thirteen year old, what is the best thing I can do for my health?"
540,554,How do most people die?
541,555,How do people die?
542,556,Why are most clothes made of polyester now instead of cotton?
543,557,How are cotton clothes made?
544,558,What is in bone marrow?
545,559,What does bone marrow taste like?
546,560,Were there any slave with the name Reddice?
547,561,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?"
548,562,How long does it take for a dead body to float to the surface after drowning ?
549,563,"When a dead body is in a river, how long does it take before it floats?"
550,564,How do I get over a friend with whom I haven't talked in 3 years but still miss him?
551,565,How do I get over someone I loved now that we broke up last year and I still miss her?
552,566,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?
553,567,What are the ways to explore world without spending more money?
554,568,How can I make money online with free of cost?
555,569,How do I to make money online?
556,570,Where can I buy best quality customized cupcakes in Gold Coast?
557,571,Where can I find delicious cupcakes at Gold Coast?
